[21.9636284  -1.74472571 -3.39477612]predicted values for validation setpredicted value for 1: 14.81851198661619, actual value: 12.7
predicted value for 2: 15.276579468116545, actual value: 13.5
predicted value for 3: 15.071654542182177, actual value: 14.9
predicted value for 4: 15.029464116254513, actual value: 20.0
predicted value for 5: 14.6919407088332, actual value: 16.4
predicted value for 6: 14.788375968096432, actual value: 17.7
predicted value for 7: 15.113844968109838, actual value: 19.5
predicted value for 8: 14.697967912537152, actual value: 20.2
predicted value for 9: 16.174632820005392, actual value: 21.4
predicted value for 10: 17.211311857085136, actual value: 19.9
predicted value for 11: 15.011382505142656, actual value: 19.0
predicted value for 12: 14.420716542155358, actual value: 19.1
predicted value for 13: 15.83710941258408, actual value: 19.1
predicted value for 14: 16.698999542249215, actual value: 20.1
predicted value for 15: 15.05357293107032, actual value: 19.9
predicted value for 16: 14.649750282905536, actual value: 19.6
predicted value for 17: 15.596021264426, actual value: 23.2
predicted value for 18: 16.042034338518448, actual value: 29.8
predicted value for 19: 14.366471708819791, actual value: 13.8
predicted value for 20: 14.245927634740752, actual value: 13.3
predicted value for 21: 14.474961375490928, actual value: 16.7
predicted value for 22: 14.251954838444703, actual value: 12.0
predicted value for 23: 14.288118060668413, actual value: 14.6
predicted value for 24: 14.81248478291224, actual value: 21.4
predicted value for 25: 16.216823245933057, actual value: 23.0
predicted value for 26: 15.60204846812995, actual value: 23.7
predicted value for 27: 15.475477190346961, actual value: 25.0
predicted value for 28: 17.687460949697346, actual value: 21.8
predicted value for 29: 17.591025690434112, actual value: 20.6
predicted value for 30: 16.98830532003891, actual value: 21.2
predicted value for 31: 15.306715486636303, actual value: 19.1
predicted value for 32: 16.909951671887537, actual value: 20.6
predicted value for 33: 13.56790537576433, actual value: 15.2
predicted value for 34: 13.230381968343018, actual value: 7.0
predicted value for 35: 13.248463579454874, actual value: 8.1
predicted value for 36: 13.200245949823259, actual value: 13.6
predicted value for 37: 14.122408116527915, actual value: 20.1
predicted value for 38: 22.736350244302496, actual value: 21.8
predicted value for 39: 23.423451466553022, actual value: 24.5
predicted value for 40: 24.2552055776984, actual value: 23.1
predicted value for 41: 21.597208744255568, actual value: 19.7
predicted value for 42: 21.735834429446463, actual value: 18.3
predicted value for 43: 22.055276225755918, actual value: 21.2
predicted value for 44: 21.561045522031854, actual value: 17.5
predicted value for 45: 21.18735889238683, actual value: 16.8
predicted value for 46: 24.34698689170209, actual value: 22.4
predicted value for 47: 23.888919410201737, actual value: 20.6
predicted value for 48: 23.027029280536603, actual value: 23.9
predicted value for 49: 23.129491743503788, actual value: 22.0
predicted value for 50: 23.641804058339705, actual value: 11.9
Sum of Square Error for MEDV calculated using AGE and TAX:1125.3202885548199Mean Square Error for MEDV calculated using AGE and TAX:22.506405771096397[ 2.20659227e+01 -6.37766487e-01  5.76719640e-01 -4.17423324e-01
  8.49474558e-01 -7.63656741e-01  3.37403095e+00  2.83285125e-03
 -1.88395434e+00  5.81196531e-01 -5.23109650e-01 -1.73705068e+00
  8.76201308e-01 -3.41826813e+00]predicted values for validation set with all columnspredicted value for 1: 11.762495861776308, actual value: 12.7predicted value for 2: 12.052539560048565, actual value: 13.5predicted value for 3: 16.701839723073363, actual value: 14.9predicted value for 4: 17.713217160904414, actual value: 20.0predicted value for 5: 18.68871148942188, actual value: 16.4predicted value for 6: 19.41382787415136, actual value: 17.7predicted value for 7: 19.143262569151815, actual value: 19.5predicted value for 8: 21.76152318750871, actual value: 20.2predicted value for 9: 19.085743427436725, actual value: 21.4predicted value for 10: 16.199425189916372, actual value: 19.9predicted value for 11: 12.813820493611335, actual value: 19.0predicted value for 12: 14.771010764336143, actual value: 19.1predicted value for 13: 15.17376086541546, actual value: 19.1predicted value for 14: 16.275743313279538, actual value: 20.1predicted value for 15: 18.123391513655903, actual value: 19.9predicted value for 16: 20.27024272570842, actual value: 19.6predicted value for 17: 20.42640898644923, actual value: 23.2predicted value for 18: 24.065438837076755, actual value: 29.8predicted value for 19: 13.609510858092692, actual value: 13.8predicted value for 20: 14.08843219110916, actual value: 13.3predicted value for 21: 18.8559703564734, actual value: 16.7predicted value for 22: 9.435727865581619, actual value: 12.0predicted value for 23: 17.339778440729102, actual value: 14.6predicted value for 24: 19.7780847822622, actual value: 21.4predicted value for 25: 20.93135445445924, actual value: 23.0predicted value for 26: 24.759737774364588, actual value: 23.7predicted value for 27: 26.505331679690357, actual value: 25.0predicted value for 28: 18.428982233053194, actual value: 21.8predicted value for 29: 17.38822093347365, actual value: 20.6predicted value for 30: 20.587985328985297, actual value: 21.2predicted value for 31: 17.88914584299786, actual value: 19.1predicted value for 32: 18.92004530093757, actual value: 20.6predicted value for 33: 13.029358917287944, actual value: 15.2predicted value for 34: 9.64262679922918, actual value: 7.0predicted value for 35: 5.166489014804769, actual value: 8.1predicted value for 36: 15.410656411594939, actual value: 13.6predicted value for 37: 17.472311042356942, actual value: 20.1predicted value for 38: 19.745194845453295, actual value: 21.8predicted value for 39: 20.02046932177551, actual value: 24.5predicted value for 40: 16.559540450415383, actual value: 23.1predicted value for 41: 13.627186487393896, actual value: 19.7predicted value for 42: 18.72666700824082, actual value: 18.3predicted value for 43: 20.749607479059893, actual value: 21.2predicted value for 44: 17.630394389453343, actual value: 17.5predicted value for 45: 20.05286414323444, actual value: 16.8predicted value for 46: 23.4082335104619, actual value: 22.4predicted value for 47: 21.68942961681575, actual value: 20.6predicted value for 48: 27.400738261741196, actual value: 23.9predicted value for 49: 25.929342067421228, actual value: 22.0predicted value for 50: 21.64229776504998, actual value: 11.9Sum of Square Error for MEDV calculated using all variables:498.7258154857173Mean Square Error for MEDV calculated using all variables:9.974516309714346predicted values for validation set with AGE and TAX with the Closed Form Solutionpredicted value for 1: 15.493043752110426, actual value: 12.7
predicted value for 2: 15.893475533322652, actual value: 13.5
predicted value for 3: 15.714334999622446, actual value: 14.9
predicted value for 4: 15.67745312503711, actual value: 20.0
predicted value for 5: 15.382398128354415, actual value: 16.4
predicted value for 6: 15.466699555978044, actual value: 17.7
predicted value for 7: 15.751216874207783, actual value: 19.5
predicted value for 8: 15.387666967580893, actual value: 20.2
predicted value for 9: 16.678532578067674, actual value: 21.4
predicted value for 10: 17.58477292502166, actual value: 19.9
predicted value for 11: 15.66164660735768, actual value: 19.0
predicted value for 12: 15.145300363162969, actual value: 19.1
predicted value for 13: 16.38347758138498, actual value: 19.1
predicted value for 14: 17.136921590771145, actual value: 20.1
predicted value for 15: 15.698528481943017, actual value: 19.9
predicted value for 16: 15.345516253769079, actual value: 19.6
predicted value for 17: 16.172724012325915, actual value: 23.2
predicted value for 18: 16.562618115085186, actual value: 29.8
predicted value for 19: 15.097880810124677, actual value: 13.8
predicted value for 20: 14.992504025595144, actual value: 13.3
predicted value for 21: 15.192719916201257, actual value: 16.7
predicted value for 22: 14.997772864821622, actual value: 12.0
predicted value for 23: 15.02938590018048, actual value: 14.6
predicted value for 24: 15.487774912883951, actual value: 21.4
predicted value for 25: 16.715414452653008, actual value: 23.0
predicted value for 26: 16.17799285155239, actual value: 23.7
predicted value for 27: 16.067347227796382, actual value: 25.0
predicted value for 28: 18.001011223913316, actual value: 21.8
predicted value for 29: 17.916709796289688, actual value: 20.6
predicted value for 30: 17.389825873642025, actual value: 21.2
predicted value for 31: 15.919819729455037, actual value: 19.1
predicted value for 32: 17.321330963697825, actual value: 20.6
predicted value for 33: 14.204814538783378, actual value: 15.2
predicted value for 34: 13.909759542100687, actual value: 7.0
predicted value for 35: 13.925566059780117, actual value: 8.1
predicted value for 36: 13.883415345968302, actual value: 13.6
predicted value for 37: 14.68954774761923, actual value: 20.1
predicted value for 38: 23.606165936007038, actual value: 21.8
predicted value for 39: 24.206813607825374, actual value: 24.5
predicted value for 40: 24.933913421079154, actual value: 23.1
predicted value for 41: 22.61035532220295, actual value: 19.7
predicted value for 42: 22.731538624411915, actual value: 18.3
predicted value for 43: 23.010787103415176, actual value: 21.2
predicted value for 44: 22.57874228684409, actual value: 17.5
predicted value for 45: 22.252074254802537, actual value: 16.8
predicted value for 46: 25.525423252671903, actual value: 22.4
predicted value for 47: 25.124991471459676, actual value: 20.6
predicted value for 48: 24.371547462073515, actual value: 23.9
predicted value for 49: 24.461117728923618, actual value: 22.0
predicted value for 50: 24.908969063174133, actual value: 11.9
Sum of Square Error for MEDV calculated using AGE and TAX with the Closed Form Solution: 1102.300791841034Mean Square Error for MEDV calculated using AGE and TAX with the Closed Form Solution:22.04601583682068
